"brand","title","price","percent","Date"
"Misty Mountain","Cadillac Harness","$68.72 ","45%  Off",2019-01-24
"Black Diamond","Chaos Harness","$74.97 ","40%  Off",2019-01-24
"CAMP USA","Flint Harness","$43.46 ","25%  Off",2019-01-24
"Black Diamond","Ethos Harness - Women's","$87.46 ","30%  Off",2019-01-24
"Black Diamond","Aura Harness - Women's","$54.97 ","45%  Off",2019-01-24
"Misty Mountain","Silhouette Harness","$80.46 ","30%  Off",2019-01-24
"CAMP USA","Flash Harness","$53.65 ","33%  Off",2019-01-24
"CAMP USA","Air CR EVO Harness","$62.96 ","30%  Off",2019-01-24
"Mammut","Zephira Harness - Women's","$62.96 ","30%  Off",2019-01-24
"Black Diamond","Momentum Package","$69.96 ","30%  Off",2019-01-24
"DMM","Torque Nut Package","$42.89 ","35%  Off",2019-01-24
"DMM","Brass Offset Free Package","$58.49 ","10%  Off",2019-01-24
"Butora","Narsha Tight Fit Climbing Shoe","$125.30 ","30%  Off",2019-01-24
"La Sportiva","Miura XX Signature Edition Climbing Shoe","$110.00 ","45%  Off",2019-01-24
"Black Diamond","Camalot C4","$48.71 ","25%  Off",2018-11-20
"Black Diamond","Camalot C4 Package #.3-6","$607.12 ","25%  Off",2018-11-20
"Black Diamond","Camalot C4 Package #0.5 - 3","$262.31 ","25%  Off",2018-11-20
"Black Diamond","Camalot C4 Package #4-6","$247.39 ","25%  Off",2018-11-20
"Black Diamond","Camalot C4 Package Finger Size #.3 - .75","$194.85 ","25%  Off",2018-11-20
"Black Diamond","Camalot C4 Package Hand and Fist Size #1 - 3","$164.89 ","25%  Off",2018-11-20
"Black Diamond","Camalot X4","$59.96 ","25%  Off",2018-11-20
"Black Diamond","Camalot X4 Offset","$59.96 ","25%  Off",2018-11-20
"Black Diamond","Camalot X4 Offset Package","$281.06 ","25%  Off",2018-11-20
"Black Diamond","Trad Rack Starter Package","$412.50 ","25%  Off",2018-11-20
"DMM","Wallnuts","$7.87 ","25%  Off",2018-11-20
"DMM","Wallnuts Sets","$35.96 ","25%  Off",2018-11-20
"La Sportiva","Oxygym Climbing Shoe - Women's","$39.60 ","60%  Off",2018-11-20
"La Sportiva","Katana Rock Vibram XS Grip2 Climbing Shoe - Women's","$90.00 ","40%  Off",2018-11-20
"La Sportiva","Miura Vibram XS Grip 2 Climbing Shoe - Women's","$57.75 ","65%  Off",2018-11-20
"La Sportiva","Miura Vibram XS Edge Climbing Shoe","$66.00 ","60%  Off",2018-11-20
"La Sportiva","Miura XX Signature Edition Climbing Shoe","$120.00 ","40%  Off",2018-11-20
"Butora","Narsha Tight Fit Climbing Shoe","$125.30 ","30%  Off",2018-11-20
